0,Wed Sep 05 15:21:42 EDT 2018,true,main/ScannerBean.java,expectedTypes,[main.Assignment(.*), @ScannerBean, @Number, @Word, @Quote, @Start, @End, @Plus, @Minus, @move, @say, @rotateLeftArm, @rotateRightArm, @repeat, @define, @call, @thread, @wait, @proceedAll, @sleep, @undo, @redo, @approach, @pass, @fail, @RotatingLine, @Angle, @Avatar, @BridgeScene, @Locatable, @BoundedShape, @Table, @CommandInterpreter, @ConsoleSceneView, @InheritingBridgeScenePainter, @ObservableBridgeScenePainter, @PaintListener, @BridgeSceneController, @CommandInterpreterController, @ObservableCommandInterpreter, @SayCommand, @MoveCommand, @PassCommand, @Animator, @AnimatingCommand, @FailCommand, @ApproachCommand, @RepeatCommand, @CommandList, @RotateLeftArm, @RotateRightArm, @Sleep, @Define, @Call, @Thread, @DefineCommand, @CallCommand, @ThreadCommand, @Parser, @ScanningException, @ParsingException, @BroadcastingClearanceManager, @SingletonsCreator, @CustomSwingTextFieldFactory, @UndoCommand, @RedoCommand]
0,Wed Sep 05 15:21:42 EDT 2018,true,main/ScannerBean.java,typeDefined,ScannerBean,@ScannerBean,Class
0,Wed Sep 05 15:21:42 EDT 2018,true,main/ScannerBean.java,expectedGetters,ScannerBean,Tokens,.*\[\]
0,Wed Sep 05 15:21:42 EDT 2018,true,main/ScannerBean.java,expectedGetters,ScannerBean,TokenList,@LIST_PATTERN
0,Wed Sep 05 15:21:42 EDT 2018,true,main/ScannerBean.java,expectedGetters,ScannerBean,TokenList,@ClearableHistory
0,Wed Sep 05 15:21:42 EDT 2018,true,main/ScannerBean.java,classHasAtLeastOneInterface,ScannerBean,main.ScannerBean
0,Wed Sep 05 15:21:42 EDT 2018,true,main/Assignment2.java,typeDefined,Assignment2,main.Assignment(.*),Class
0,Wed Sep 05 15:21:42 EDT 2018,true,main/Assignment2.java,variableHasClassType,Assignment2,ScannerBean,bean
0,Wed Sep 05 15:21:42 EDT 2018,true,main/Assignment2.java,missingMethodCall,Assignment2,ObjectEditor.initialize:->void
0,Wed Sep 05 15:21:42 EDT 2018,true,main/RunTests.java,typeDefined,RunTests,No Expected Tag,Class
1,Tue Sep 25 19:02:03 EDT 2018,true,main/Start.java,expectedTypes,[main.Assignment(.*), @ScannerBean, @Number, @Word, @Quote, @Start, @End, @Plus, @Minus, @move, @say, @rotateLeftArm, @rotateRightArm, @repeat, @define, @call, @thread, @wait, @proceedAll, @sleep, @undo, @redo, @approach, @pass, @fail, @RotatingLine, @Angle, @Avatar, @BridgeScene, @Locatable, @BoundedShape, @Table, @CommandInterpreter, @ConsoleSceneView, @InheritingBridgeScenePainter, @ObservableBridgeScenePainter, @PaintListener, @BridgeSceneController, @CommandInterpreterController, @ObservableCommandInterpreter, @SayCommand, @MoveCommand, @PassCommand, @Animator, @AnimatingCommand, @FailCommand, @ApproachCommand, @RepeatCommand, @CommandList, @RotateLeftArm, @RotateRightArm, @Sleep, @Define, @Call, @Thread, @DefineCommand, @CallCommand, @ThreadCommand, @Parser, @ScanningException, @ParsingException, @BroadcastingClearanceManager, @SingletonsCreator, @CustomSwingTextFieldFactory, @UndoCommand, @RedoCommand]
1,Tue Sep 25 19:02:03 EDT 2018,true,main/Start.java,typeDefined,Start,@Start,Class
1,Tue Sep 25 19:02:03 EDT 2018,true,main/Line.java,typeDefined,Line,@RotatingLine,Interface
1,Tue Sep 25 19:02:03 EDT 2018,true,main/Command.java,typeDefined,Command,@RotateLeftArm,Interface
1,Tue Sep 25 19:02:03 EDT 2018,true,main/Command.java,typeDefined,Command,@RotateRightArm,Interface
1,Tue Sep 25 19:02:03 EDT 2018,true,main/Command.java,typeDefined,Command,@Sleep,Interface
1,Tue Sep 25 19:02:03 EDT 2018,true,main/Command.java,typeDefined,Command,@Define,Interface
1,Tue Sep 25 19:02:03 EDT 2018,true,main/Command.java,typeDefined,Command,@Call,Interface
1,Tue Sep 25 19:02:03 EDT 2018,true,main/Command.java,typeDefined,Command,@Thread,Interface
1,Tue Sep 25 19:02:03 EDT 2018,true,main/NumberToken.java,typeDefined,NumberToken,@Number,Interface
1,Tue Sep 25 19:02:03 EDT 2018,true,main/RotateLeftArm.java,typeDefined,RotateLeftArm,@RotateLeftArm,Class
