#,Time,%Passes,Change,Test,Pass,Partial,Fail,Untested
0,Mon Nov 26 15:16:41 EST 2018,0,0,Assignment9Suite, , ,ArthurBridgeSceneControllerTestCase- BridgeSceneControllerFactoryMethodTest- CommandInterpreterControllerFactoryMethodTest- CommandInterpreterViewFactoryMethodTest- DelegatingBridgeSceneViewFactoryMethodTest- ExistingPaintListenerTestCase- GalahadBridgeSceneControllerTestCase- InheritingBridgeScenePainterFactoryMethodTest- LancelotBridgeSceneControllerTestCase- NewPaintListenerTestCase- ObservableBridgeScenePainterFactoryMethodTest- RobinBridgeSceneControllerTestCase- , ,
1,Mon Nov 26 17:46:36 EST 2018,8,8,Assignment9Suite,ObservableBridgeScenePainterFactoryMethodTest+ , ,ArthurBridgeSceneControllerTestCase BridgeSceneControllerFactoryMethodTest CommandInterpreterControllerFactoryMethodTest CommandInterpreterViewFactoryMethodTest DelegatingBridgeSceneViewFactoryMethodTest ExistingPaintListenerTestCase GalahadBridgeSceneControllerTestCase InheritingBridgeScenePainterFactoryMethodTest LancelotBridgeSceneControllerTestCase NewPaintListenerTestCase RobinBridgeSceneControllerTestCase , ,
2,Tue Nov 27 00:28:37 EST 2018,66,58,Assignment9Suite,ArthurBridgeSceneControllerTestCase+ BridgeSceneControllerFactoryMethodTest+ DelegatingBridgeSceneViewFactoryMethodTest+ ExistingPaintListenerTestCase+ GalahadBridgeSceneControllerTestCase+ LancelotBridgeSceneControllerTestCase+ ObservableBridgeScenePainterFactoryMethodTest RobinBridgeSceneControllerTestCase+ , ,CommandInterpreterControllerFactoryMethodTest CommandInterpreterViewFactoryMethodTest InheritingBridgeScenePainterFactoryMethodTest NewPaintListenerTestCase , ,
3,Tue Nov 27 00:33:17 EST 2018,66,0,Assignment9Suite,ArthurBridgeSceneControllerTestCase BridgeSceneControllerFactoryMethodTest DelegatingBridgeSceneViewFactoryMethodTest ExistingPaintListenerTestCase GalahadBridgeSceneControllerTestCase LancelotBridgeSceneControllerTestCase ObservableBridgeScenePainterFactoryMethodTest RobinBridgeSceneControllerTestCase , ,CommandInterpreterControllerFactoryMethodTest CommandInterpreterViewFactoryMethodTest InheritingBridgeScenePainterFactoryMethodTest NewPaintListenerTestCase , ,
4,Tue Nov 27 00:39:04 EST 2018,66,0,Assignment9Suite,ArthurBridgeSceneControllerTestCase BridgeSceneControllerFactoryMethodTest DelegatingBridgeSceneViewFactoryMethodTest ExistingPaintListenerTestCase GalahadBridgeSceneControllerTestCase LancelotBridgeSceneControllerTestCase ObservableBridgeScenePainterFactoryMethodTest RobinBridgeSceneControllerTestCase , ,CommandInterpreterControllerFactoryMethodTest CommandInterpreterViewFactoryMethodTest InheritingBridgeScenePainterFactoryMethodTest NewPaintListenerTestCase , ,
5,Tue Nov 27 12:10:20 EST 2018,66,0,Assignment9Suite,ArthurBridgeSceneControllerTestCase BridgeSceneControllerFactoryMethodTest DelegatingBridgeSceneViewFactoryMethodTest ExistingPaintListenerTestCase GalahadBridgeSceneControllerTestCase LancelotBridgeSceneControllerTestCase ObservableBridgeScenePainterFactoryMethodTest RobinBridgeSceneControllerTestCase , ,CommandInterpreterControllerFactoryMethodTest CommandInterpreterViewFactoryMethodTest InheritingBridgeScenePainterFactoryMethodTest NewPaintListenerTestCase , ,
6,Tue Nov 27 12:12:12 EST 2018,66,0,Assignment9Suite,ArthurBridgeSceneControllerTestCase BridgeSceneControllerFactoryMethodTest DelegatingBridgeSceneViewFactoryMethodTest ExistingPaintListenerTestCase GalahadBridgeSceneControllerTestCase LancelotBridgeSceneControllerTestCase ObservableBridgeScenePainterFactoryMethodTest RobinBridgeSceneControllerTestCase , ,CommandInterpreterControllerFactoryMethodTest CommandInterpreterViewFactoryMethodTest InheritingBridgeScenePainterFactoryMethodTest NewPaintListenerTestCase , ,
7,Tue Nov 27 12:17:01 EST 2018,66,0,Assignment9Suite,ArthurBridgeSceneControllerTestCase BridgeSceneControllerFactoryMethodTest DelegatingBridgeSceneViewFactoryMethodTest ExistingPaintListenerTestCase GalahadBridgeSceneControllerTestCase LancelotBridgeSceneControllerTestCase ObservableBridgeScenePainterFactoryMethodTest RobinBridgeSceneControllerTestCase , ,CommandInterpreterControllerFactoryMethodTest CommandInterpreterViewFactoryMethodTest InheritingBridgeScenePainterFactoryMethodTest NewPaintListenerTestCase , ,
8,Tue Nov 27 12:23:30 EST 2018,66,0,Assignment9Suite,ArthurBridgeSceneControllerTestCase BridgeSceneControllerFactoryMethodTest DelegatingBridgeSceneViewFactoryMethodTest ExistingPaintListenerTestCase GalahadBridgeSceneControllerTestCase LancelotBridgeSceneControllerTestCase ObservableBridgeScenePainterFactoryMethodTest RobinBridgeSceneControllerTestCase , ,CommandInterpreterControllerFactoryMethodTest CommandInterpreterViewFactoryMethodTest InheritingBridgeScenePainterFactoryMethodTest NewPaintListenerTestCase , ,
9,Tue Nov 27 17:16:44 EST 2018,66,0,Assignment9Suite,ArthurBridgeSceneControllerTestCase BridgeSceneControllerFactoryMethodTest DelegatingBridgeSceneViewFactoryMethodTest ExistingPaintListenerTestCase GalahadBridgeSceneControllerTestCase LancelotBridgeSceneControllerTestCase ObservableBridgeScenePainterFactoryMethodTest RobinBridgeSceneControllerTestCase , ,CommandInterpreterControllerFactoryMethodTest CommandInterpreterViewFactoryMethodTest InheritingBridgeScenePainterFactoryMethodTest NewPaintListenerTestCase , ,
10,Tue Nov 27 17:33:24 EST 2018,66,0,Assignment9Suite,ArthurBridgeSceneControllerTestCase BridgeSceneControllerFactoryMethodTest DelegatingBridgeSceneViewFactoryMethodTest ExistingPaintListenerTestCase GalahadBridgeSceneControllerTestCase LancelotBridgeSceneControllerTestCase ObservableBridgeScenePainterFactoryMethodTest RobinBridgeSceneControllerTestCase , ,CommandInterpreterControllerFactoryMethodTest CommandInterpreterViewFactoryMethodTest InheritingBridgeScenePainterFactoryMethodTest NewPaintListenerTestCase , ,
